log2fc,p,regulation,organ,timePoint,reg_time_org
-3.01,0.0001,decrease,tissue2,time1,decrease.tissue2.time1
1.19,0.0064,increase,tissue2,time1,increase.tissue2.time1
-1.39,0.0076,decrease,tissue2,time1,decrease.tissue2.time1
-0.99,0.0101,decrease,tissue2,time1,decrease.tissue2.time1
1.99,0.0101,increase,tissue2,time1,increase.tissue2.time1
-1.54,0.0122,decrease,tissue1,time2,decrease.tissue1.time2
-1.21,0.0131,decrease,tissue2,time1,decrease.tissue2.time1
-1.55,0.0159,decrease,tissue2,time1,decrease.tissue2.time1
1.85,0.0182,increase,tissue2,time1,increase.tissue2.time1
-1.28,0.0207,decrease,tissue2,time1,decrease.tissue2.time1
-1.30,0.0226,decrease,tissue1,time1,decrease.tissue1.time1
1.30,0.0248,increase,tissue2,time1,increase.tissue2.time1
-1.08,0.0251,decrease,tissue2,time1,decrease.tissue2.time1
-0.85,0.0267,decrease,tissue2,time1,decrease.tissue2.time1
-2.62,0.0278,decrease,tissue1,time2,decrease.tissue1.time2
1.69,0.0281,increase,tissue1,time1,increase.tissue1.time1
1.96,0.0300,increase,tissue2,time1,increase.tissue2.time1
-1.06,0.0309,decrease,tissue2,time1,decrease.tissue2.time1
-1.51,0.0314,decrease,tissue2,time1,decrease.tissue2.time1
0.79,0.0314,increase,tissue2,time2,increase.tissue2.time2
-1.45,0.0319,decrease,tissue2,time1,decrease.tissue2.time1
-1.64,0.0333,decrease,tissue1,time1,decrease.tissue1.time1
-1.26,0.0338,decrease,tissue2,time2,decrease.tissue2.time2
1.76,0.0351,increase,tissue1,time2,increase.tissue1.time2
1.48,0.0357,increase,tissue1,time1,increase.tissue1.time1
-1.12,0.0358,decrease,tissue2,time1,decrease.tissue2.time1
1.14,0.0372,increase,tissue2,time1,increase.tissue2.time1
1.63,0.0385,increase,tissue2,time1,increase.tissue2.time1
1.21,0.0392,increase,tissue2,time1,increase.tissue2.time1
-2.07,0.0395,decrease,tissue1,time2,decrease.tissue1.time2
-1.49,0.0410,decrease,tissue2,time1,decrease.tissue2.time1
2.56,0.0411,increase,tissue1,time2,increase.tissue1.time2
-0.83,0.0416,decrease,tissue2,time1,decrease.tissue2.time1
1.94,0.0421,increase,tissue1,time2,increase.tissue1.time2
1.80,0.0425,increase,tissue1,time2,increase.tissue1.time2
0.85,0.0436,increase,tissue2,time1,increase.tissue2.time1
1.91,0.0445,increase,tissue1,time1,increase.tissue1.time1
1.75,0.0459,increase,tissue1,time2,increase.tissue1.time2
1.36,0.0473,increase,tissue1,time2,increase.tissue1.time2
