,miRNA,CESC,OV,PRAD,TGCT,UCEC,UCS
AKT2,hsa-miR-21-5p,0.54378004,-0.120758427,0.395806815,0.395806815,0.395806815,0.395806815
BAD,hsa-miR-330-5p,-1.345711109,-1.178339112,-2.286290547,-2.286290547,-2.286290547,-2.286290547
BIRC2,hsa-miR-34a-5p,-0.791669963,-1.325859322,-1.016945986,-1.016945986,-1.016945986,-1.016945986
CDKN1B,hsa-miR-148a-3p,0.191084327,-0.171460431,0.30889819,0.30889819,0.30889819,0.30889819
CHEK2,hsa-miR-182-5p,0.128653144,-0.099154738,0.125141519,0.125141519,0.125141519,0.125141519
ERBB2,hsa-miR-21-5p,0.54378004,-0.120758427,0.395806815,0.395806815,0.395806815,0.395806815
GAPDH,hsa-let-7b-5p,0.140396787,0.352500832,0.041438999,0.041438999,0.041438999,0.041438999
ITGA2,hsa-miR-103a-3p,0.17147288,0.122394533,0.117995063,0.117995063,0.117995063,0.117995063
MAP2K1,hsa-miR-101-3p,0.052440779,-0.90189614,0.132252392,0.132252392,0.132252392,0.132252392
MAPK8,hsa-miR-203a-3p,0.220195108,-0.383617391,-0.263219938,-0.263219938,-0.263219938,-0.263219938
MSH2,hsa-miR-21-5p,0.54378004,-0.120758427,0.395806815,0.395806815,0.395806815,0.395806815
MYC,hsa-miR-21-5p,0.54378004,-0.120758427,0.395806815,0.395806815,0.395806815,0.395806815
MYH11,hsa-miR-130a-3p,-0.896692347,-1.16640601,-1.112870728,-1.112870728,-1.112870728,-1.112870728
NOTCH1,hsa-miR-10b-5p,0.227153883,0.182944134,0.234636969,0.234636969,0.234636969,0.234636969
PIK3R1,hsa-miR-21-5p,0.54378004,-0.120758427,0.395806815,0.395806815,0.395806815,0.395806815
PTEN,hsa-miR-21-5p,0.54378004,-0.120758427,0.395806815,0.395806815,0.395806815,0.395806815
RAD50,hsa-miR-335-3p,-0.990789444,-1.330457462,-1.379690119,-1.379690119,-1.379690119,-1.379690119
RAD51,hsa-miR-103a-3p,0.17147288,0.122394533,0.117995063,0.117995063,0.117995063,0.117995063
RAF1,hsa-miR-23b-3p,-0.297946245,-0.231988058,-0.273259326,-0.273259326,-0.273259326,-0.273259326
RB1,hsa-miR-21-5p,0.54378004,-0.120758427,0.395806815,0.395806815,0.395806815,0.395806815
RBM15,,,,,,,
RPS6KB1,hsa-miR-103a-3p,0.17147288,0.122394533,0.117995063,0.117995063,0.117995063,0.117995063
STAT3,hsa-miR-21-5p,0.54378004,-0.120758427,0.395806815,0.395806815,0.395806815,0.395806815
STAT5A,hsa-miR-141-3p,-0.358477704,-1.509732167,-0.403343605,-0.403343605,-0.403343605,-0.403343605
STK11,hsa-miR-93-5p,0.006036483,-0.035926437,-0.141964428,-0.141964428,-0.141964428,-0.141964428
YAP1,hsa-let-7b-5p,0.140396787,0.352500832,0.041438999,0.041438999,0.041438999,0.041438999
