signaling,Activation_z_score,timePoint,tissue,p,number_of_genes
action potential of neurons,0.033, chronic  stress,AY,,
action potential of neurons,1.37, chronic recovery,AY,,
action potential of neurons,-1.37,  acute  stress,AY,,
action potential of neurons,1.37,  acute recovery,AY,,
activation of neuroglia and microglia,-1.974, chronic  stress,AY,,
activation of neuroglia and microglia,-0.905, chronic recovery,AY,,
activation of neuroglia and microglia,-0.34,  acute  stress,AY,,
activation of neuroglia and microglia,-2.193,  acute recovery,AY,,
activation of neurons,-1.041, chronic  stress,AY,,
activation of neurons,-1.516, chronic recovery,AY,,
activation of neurons,-2.227,  acute  stress,AY,,
activation of neurons,-0.738,  acute recovery,AY,,
assembly of intercellular junctions,0.247, chronic  stress,AY,,
assembly of intercellular junctions,-1.606, chronic recovery,AY,,
assembly of intercellular junctions,-1.642,  acute  stress,AY,,
assembly of intercellular junctions,1.433,  acute recovery,AY,,
communication of cells,1.673, chronic  stress,AY,,
communication of cells,1.145, chronic recovery,AY,,
communication of cells,1.321,  acute  stress,AY,,
communication of cells,1.145,  acute recovery,AY,,
concentration of 5-hydroxytryptamine,0.223, chronic  stress,AY,,
concentration of 5-hydroxytryptamine,-0.866, chronic recovery,AY,,
concentration of 5-hydroxytryptamine,-1.51,  acute  stress,AY,,
concentration of 5-hydroxytryptamine,0.478,  acute recovery,AY,,
concentration of dopamine,-2.104, chronic  stress,AY,,
concentration of dopamine,0.984, chronic recovery,AY,,
concentration of dopamine,-1.16,  acute  stress,AY,,
concentration of dopamine,-0.959,  acute recovery,AY,,
concentration of norepinephrine,0.542, chronic  stress,AY,,
concentration of norepinephrine,-1.138, chronic recovery,AY,,
concentration of norepinephrine,-1.483,  acute  stress,AY,,
concentration of norepinephrine,1.656,  acute recovery,AY,,
excitation of neurons,1.161, chronic  stress,AY,,
excitation of neurons,-0.187, chronic recovery,AY,,
excitation of neurons,1.236,  acute  stress,AY,,
excitation of neurons,0.262,  acute recovery,AY,,
excitatory postsynaptic potential,0.316, chronic  stress,AY,,
excitatory postsynaptic potential,1.694, chronic recovery,AY,,
excitatory postsynaptic potential,-0.89,  acute  stress,AY,,
excitatory postsynaptic potential,1.694,  acute recovery,AY,,
long term depression of synapse,1.756, chronic  stress,AY,,
long term depression of synapse,-1.298, chronic recovery,AY,,
long term depression of synapse,1.069,  acute  stress,AY,,
long term depression of synapse,-0.305,  acute recovery,AY,,
